1,1,1,1,1,1,g1|S|1|1,g1|S|1|1,g1|S|1|1,1,1,1,1,1,g2|S|1|1,g2|S|1|1,g2|S|1|1,1,1,1,1,g4|S|1|1,g4|S|1|1,g4|S|1|1,1,1,1,1,1,1,1,1,1,1,g6|S|1|1,g6|S|1|1,g6|S|1|1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g1|S|1|1,g1|S|1|1,g1|S|1|1,1,1,1,1,1,g2|S|1|1,g2|S|1|1,g2|S|1|1,1,1,1,1,g4|S|1|1,g4|S|1|1,g4|S|1|1,1,1,1,1,1,1,1,1,1,1,g6|S|1|1,g6|S|1|1,g6|S|1|1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,g0|N|0|0,g0|N|0|0,g0|N|0|0,0,0,0,0,0,g3|N|0|0,g3|N|0|0,g3|N|0|0,0,0,0,0,g5|N|0|0,g5|N|0|0,g5|N|0|0,0,0,0,0,0,0,0,0,0,0,g7|N|0|0,g7|N|0|0,g7|N|0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,g0|N|0|0,g0|N|0|0,g0|N|0|0,0,0,0,0,0,g3|N|0|0,g3|N|0|0,g3|N|0|0,0,0,0,0,g5|N|0|0,g5|N|0|0,g5|N|0|0,0,0,0,0,0,0,0,0,0,0,g7|N|0|0,g7|N|0|0,g7|N|0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,g0|N|0|0,g0|N|0|0,g0|N|0|0,0,0,0,0,0,g3|N|0|0,g3|N|0|0,g3|N|0|0,0,0,0,0,g5|N|0|0,g5|N|0|0,g5|N|0|0,0,0,0,0,0,0,0,0,0,0,g7|N|0|0,g7|N|0|0,g7|N|0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,g0|N|0|0,g0|N|0|0,g0|N|0|0,0,0,0,0,0,g3|N|0|0,g3|N|0|0,g3|N|0|0,0,0,0,0,g5|N|0|0,g5|N|0|0,g5|N|0|0,0,0,0,0,0,0,0,0,0,0,g7|N|0|0,g7|N|0|0,g7|N|0|0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g0|N|0|0,g0|N|0|0,g0|N|0|0,1,1,1,1,1,g3|N|0|0,g3|N|0|0,g3|N|0|0,1,1,1,1,g5|N|0|0,g5|N|0|0,g5|N|0|0,1,1,1,1,1,1,1,1,1,1,g7|N|0|0,g7|N|0|0,g7|N|0|0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g0|N|0|0,g0|N|0|0,g0|N|0|0,1,1,1,1,1,g3|N|0|0,g3|N|0|0,g3|N|0|0,1,1,1,1,g5|N|0|0,g5|N|0|0,g5|N|0|0,1,1,1,1,1,1,1,1,1,1,g7|N|0|0,g7|N|0|0,g7|N|0|0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g0|N|0|0,g0|N|0|0,g0|N|0|0,0,0,0,0,0,g3|N|0|0,g3|N|0|0,g3|N|0|0,1,1,1,1,g5|N|0|0,g5|N|0|0,g5|N|0|0,0,0,0,0,0,0,0,0,0,0,g7|N|0|0,g7|N|0|0,g7|N|0|0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g0|N|0|0,g0|N|0|0,g0|N|0|0,0,0,o|L,0,0,g3|N|0|0,g3|N|0|0,g3|N|0|0,1,1,1,1,g5|N|0|0,g5|N|0|0,g5|N|0|0,0,o|L,0,0,0,0,0,0,o|R,0,g7|N|0|0,g7|N|0|0,g7|N|0|0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g0|N|0|0,g0|N|0|0,g0|N|0|0,0,0,0,0,0,g3|N|0|0,g3|N|0|0,g3|N|0|0,1,1,1,1,g5|N|0|0,g5|N|0|0,g5|N|0|0,0,0,0,0,0,0,0,0,0,0,g7|N|0|0,g7|N|0|0,g7|N|0|0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g0|N|0|0,g0|N|0|0,g0|N|0|0,1,1,1,1,1,g3|N|0|0,g3|N|0|0,g3|N|0|0,1,1,1,1,g5|N|0|0,g5|N|0|0,g5|N|0|0,1,1,1,1,1,1,1,1,1,1,g7|N|0|0,g7|N|0|0,g7|N|0|0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,g0|N|0|0,g0|N|0|0,g0|N|0|0,1,1,1,1,1,g3|N|0|0,g3|N|0|0,g3|N|0|0,1,1,1,1,g5|N|0|0,g5|N|0|0,g5|N|0|0,1,1,1,1,1,1,1,1,1,1,g7|N|0|0,g7|N|0|0,g7|N|0|0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
