1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,o|R,0,0,0,0,0,0,0,0,0,0,0,o|R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,g4|S|1|0,g4|S|1|0,1,1,1,g6|S|1|0,g6|S|1|0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,g16|S|1|0,g16|S|1|0,g16|S|1|0,g16|S|1|0,g16|S|1|0,g16|S|1|0,1
1,1,1,1,1,1,1,1,1,1,g4|S|1|0,g4|S|1|0,1,1,1,g6|S|1|0,g6|S|1|0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,g16|S|1|0,g16|S|1|0,g16|S|1|0,g16|S|1|0,g16|S|1|0,g16|S|1|0,1
1,1,1,1,1,1,1,1,1,1,g5|N|0|1,g5|N|0|1,0,0,0,g7|N|0|1,g7|N|0|1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,1
1,0,0,0,0,0,0,0,0,0,g5|N|0|1,g5|N|0|1,0,0,0,g7|N|0|1,g7|N|0|1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,1
1,0,0,0,0,0,0,0,0,0,g5|N|0|1,g5|N|0|1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,g17|N|0|1,1
1,0,0,0,0,0,0,0,0,0,g5|N|0|1,g5|N|0|1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,g2|N|0|0,g2|N|0|0,1,1,1,g3|N|0|0,g3|N|0|0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,g2|N|0|0,g2|N|0|0,1,1,1,g3|N|0|0,g3|N|0|0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,g2|N|0|0,g2|N|0|0,1,1,1,g3|N|0|0,g3|N|0|0,1,1,1,g8|S|1|1,g8|S|1|1,g8|S|1|1,1,1,1,g12|N|0|1,g12|N|0|1,1,1,g13|N|0|1,1,g14|N|0|1,g14|N|0|1,1,1,g15|S|1|1,g15|S|1|1,g15|S|1|1,1,1,1,1
1,1,1,1,1,1,1,g2|N|0|0,g2|N|0|0,1,1,1,g3|N|0|0,g3|N|0|0,1,1,1,1,1,1,1,1,1,g12|N|0|1,g12|N|0|1,1,1,g13|N|0|1,1,g14|N|0|1,g14|N|0|1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,g0|S|1|0,g0|S|1|0,1,1,1,g1|S|1|0,g1|S|1|0,1,1,1,1,1,1,1,1,1,g9|S|1|0,g9|S|1|0,1,1,g10|S|1|0,1,g11|S|1|0,g11|S|1|0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,g0|S|1|0,g0|S|1|0,0,0,0,g1|S|1|0,g1|S|1|0,0,0,0,0,0,0,0,0,0,g9|S|1|0,g9|S|1|0,0,0,g10|S|1|0,0,g11|S|1|0,g11|S|1|0,0,0,0,0,0,0,0,0,1
1,0,0,0,o|R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
