1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,1,1,1
1,1,1,1,1,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,1,1,1,1,1,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,g6|N|1|0,1,1,1
1,1,1,1,1,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,g4|N|1|0,1,1,1,1,1,0,0,0,1,1,g7|S|0|1,g7|S|0|1,g7|S|0|1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
g3|S|1|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g1|S|0|1,g1|S|0|1,0,0,0,0,g2|S|0|1,g2|S|0|1,0,0,0,0,0,0,0,0,0,0,g7|S|0|1,g7|S|0|1,g7|S|0|1,0,0,0,0,0,0,0,0,g8|S|0|1,g8|S|0|1,g9|N|0|0,g9|N|0|0,g9|N|0|0,1
g3|S|1|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g1|S|0|1,g1|S|0|1,0,0,0,0,g2|S|0|1,g2|S|0|1,0,0,0,0,0,0,0,0,0,0,g7|S|0|1,g7|S|0|1,g7|S|0|1,0,0,0,0,0,0,0,0,g8|S|0|1,g8|S|0|1,g9|N|0|0,g9|N|0|0,g9|N|0|0,1
g3|S|1|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g1|S|0|1,g1|S|0|1,0,0,0,0,g2|S|0|1,g2|S|0|1,0,0,0,0,0,0,0,0,0,0,g7|S|0|1,g7|S|0|1,g7|S|0|1,0,0,0,0,0,0,0,0,g8|S|0|1,g8|S|0|1,g9|N|0|0,g9|N|0|0,g9|N|0|0,1
g3|S|1|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g0|S|0|1,g1|S|0|1,g1|S|0|1,0,0,0,0,g2|S|0|1,g2|S|0|1,0,0,0,0,0,0,0,0,0,0,g7|S|0|1,g7|S|0|1,g7|S|0|1,0,0,0,0,0,0,0,0,g8|S|0|1,g8|S|0|1,g9|N|0|0,g9|N|0|0,g9|N|0|0,1
1,1,1,1,1,g1|S|0|1,g1|S|0|1,1,0,0,1,g2|S|0|1,g2|S|0|1,1,1,1,1,1,g5|N|1|0,g5|N|1|0,g5|N|1|0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
0,0,0,0,0,g1|S|0|1,g1|S|0|1,0,0,0,0,g2|S|0|1,g2|S|0|1,0,1,1,1,1,g5|N|1|0,g5|N|1|0,g5|N|1|0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
0,0,0,0,0,g1|S|0|1,g1|S|0|1,0,0,0,0,g2|S|0|1,g2|S|0|1,0,1,1,1,1,g5|N|1|0,g5|N|1|0,g5|N|1|0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,0,0,0,0,g10|S|1|1,g10|S|1|1,g10|S|1|1,g10|S|1|1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
